"SEX","GEO","UNIT","TIME","AGE","ICD10","Value","Flag and Footnotes"
"Total","Netherlands","Rate","2013","Less than 65 years","Malignant neoplasm of other parts of uterus","0.74",""
"Total","Netherlands","Rate","2013","Less than 65 years","Malignant neoplasm of ovary","2.06",""
"Total","Netherlands","Rate","2013","Less than 65 years","Malignant neoplasm of prostate","1.33",""
"Total","Netherlands","Rate","2013","Less than 65 years","Malignant neoplasm of kidney, except renal pelvis","1.65",""
"Total","Netherlands","Rate","2013","Less than 65 years","Malignant neoplasm of bladder","1.28",""
"Total","Netherlands","Rate","2013","Less than 65 years","Malignant neoplasm of brain and central nervous system","3.01",""
"Total","Netherlands","Rate","2013","Less than 65 years","Malignant neoplasm of thyroid gland","0.13",""
"Total","Netherlands","Rate","2013","Less than 65 years","Hodgkin disease and lymphomas","1.77",""
"Total","Netherlands","Rate","2013","Less than 65 years","Other malignant neoplasm of lymphoid, haematopoietic and related tissue","1.11",""
"Total","Netherlands","Rate","2013","Less than 65 years","Leukaemia","1.99",""
"Total","Netherlands","Rate","2013","Less than 65 years","Other malignant neoplasms (remainder of C00-C97)","8.16",""
"Total","Netherlands","Rate","2013","Less than 65 years","Non-malignant neoplasms (benign and uncertain)","2.19",""
"Total","Netherlands","Rate","2013","Less than 65 years","Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism","0.6",""
"Total","Netherlands","Rate","2013","Less than 65 years","Endocrine, nutritional and metabolic diseases (E00-E90)","4.09",""
"Total","Netherlands","Rate","2013","Less than 65 years","Diabetes mellitus","2.33",""
"Total","Netherlands","Rate","2013","Less than 65 years","Other endocrine, nutritional and metabolic diseases (remainder of E00-E90)","1.75",""
"Total","Netherlands","Rate","2013","Less than 65 years","Mental and behavioural disorders (F00-F99)","3.27",""
"Total","Netherlands","Rate","2013","Less than 65 years","Dementia","0.47",""
"Total","Netherlands","Rate","2013","Less than 65 years","Mental and behavioural disorders due to use of alcohol","1.85",""
"Total","Netherlands","Rate","2013","Less than 65 years","Drug dependence, toxicomania (F11-F16, F18-F19)","0.18",""
"Total","Netherlands","Rate","2013","Less than 65 years","Other mental and behavioural disorders (remainder of F00-F99)","0.77",""
"Total","Netherlands","Rate","2013","Less than 65 years","Diseases of the nervous system and the sense organs (G00-H95)","5.98",""
"Total","Netherlands","Rate","2013","Less than 65 years","Parkinson disease","0.21",""
"Total","Netherlands","Rate","2013","Less than 65 years","Alzheimer disease","0.31",""
"Total","Netherlands","Rate","2013","Less than 65 years","Other diseases of the nervous system and the sense organs (remainder of G00-H95)","5.47",""
"Total","Netherlands","Rate","2013","Less than 65 years","Diseases of the circulatory system (I00-I99)","27.56",""
"Total","Netherlands","Rate","2013","Less than 65 years","Ischaemic heart diseases","9.57",""
"Total","Netherlands","Rate","2013","Less than 65 years","Acute myocardial infarction including subsequent myocardial infarction","7.26",""
"Total","Netherlands","Rate","2013","Less than 65 years","Other ischaemic heart diseases","2.32",""
"Total","Netherlands","Rate","2013","Less than 65 years","Other heart diseases","8.42",""
"Total","Netherlands","Rate","2013","Less than 65 years","Cerebrovascular diseases","5.53",""
"Total","Netherlands","Rate","2013","Less than 65 years","Other diseases of the circulatory system (remainder of I00-I99)","4.04",""
"Total","Netherlands","Rate","2013","Less than 65 years","Diseases of the respiratory system (J00-J99)","7.34",""
"Total","Netherlands","Rate","2013","Less than 65 years","Influenza (including swine flu)","0.27",""
"Total","Netherlands","Rate","2013","Less than 65 years","Pneumonia","1.12",""
"Total","Netherlands","Rate","2013","Less than 65 years","Chronic lower respiratory diseases","4.9",""
"Total","Netherlands","Rate","2013","Less than 65 years","Asthma and status asthmaticus","0.24",""
"Total","Netherlands","Rate","2013","Less than 65 years","Other lower respiratory diseases","4.66",""
"Total","Netherlands","Rate","2013","Less than 65 years","Other diseases of the respiratory system (remainder of J00-J99)","1.06",""
"Total","Netherlands","Rate","2013","Less than 65 years","Diseases of the digestive system (K00-K93)","5.75",""
"Total","Netherlands","Rate","2013","Less than 65 years","Ulcer of stomach, duodenum and jejunum","0.21",""
"Total","Netherlands","Rate","2013","Less than 65 years","Chronic liver disease","2.56",""
"Total","Netherlands","Rate","2013","Less than 65 years","Other diseases of the digestive system (remainder of K00-K93)","2.97",""
"Total","Netherlands","Rate","2013","Less than 65 years","Diseases of the skin and subcutaneous tissue (L00-L99)","0.11",""
"Total","Netherlands","Rate","2013","Less than 65 years","Diseases of the musculoskeletal system and connective tissue (M00-M99)","0.86",""
"Total","Netherlands","Rate","2013","Less than 65 years","Rheumatoid arthritis and arthrosis (M05-M06,M15-M19)","0.12",""
"Total","Netherlands","Rate","2013","Less than 65 years","Other diseases of the musculoskeletal system and connective tissue (remainder of M00-M99)","0.74",""
"Total","Netherlands","Rate","2013","Less than 65 years","Diseases of the genitourinary system (N00-N99)","0.87",""
"Total","Netherlands","Rate","2013","Less than 65 years","Diseases of kidney and ureter","0.66",""
"Total","Netherlands","Rate","2013","Less than 65 years","Other diseases of the genitourinary system (remainder of N00-N99)","0.21",""
"Total","Netherlands","Rate","2013","Less than 65 years","Pregnancy, childbirth and the puerperium (O00-O99)","0.04",""
"Total","Netherlands","Rate","2013","Less than 65 years","Certain conditions originating in the perinatal period (P00-P96)","2.82",""
"Total","Netherlands","Rate","2013","Less than 65 years","Congenital malformations, deformations and chromosomal abnormalities (Q00-Q99)","2.67",""
"Total","Netherlands","Rate","2013","Less than 65 years","Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)","3.84",""
"Total","Netherlands","Rate","2013","Less than 65 years","Sudden infant death syndrome","0.11",""
"Total","Netherlands","Rate","2013","Less than 65 years","Ill-defined and unknown causes of mortality","3.2",""
"Total","Netherlands","Rate","2013","Less than 65 years","Other symptoms, signs and abnormal clinical and laboratory findings (remainder of R00-R99)","0.53",""
"Total","Netherlands","Rate","2013","Less than 65 years","External causes of morbidity and mortality (V01-Y89)","18.84",""
"Total","Netherlands","Rate","2013","Less than 65 years","Accidents (V01-X59, Y85, Y86)","6.69",""
"Total","Netherlands","Rate","2013","Less than 65 years","Transport accidents (V01-V99, Y85)","2.79",""
"Total","Netherlands","Rate","2013","Less than 65 years","Other accidents (W20-W64, W75-X39, X50-X59, Y86)","1.27",""
"Total","Netherlands","Rate","2013","Less than 65 years","Falls","1.33",""
"Total","Netherlands","Rate","2013","Less than 65 years","Accidental drowning and submersion","0.45",""
"Total","Netherlands","Rate","2013","Less than 65 years","Intentional self-harm","10.93",""
"Total","Netherlands","Rate","2013","Less than 65 years","Accidental poisoning by and exposure to noxious substances","0.85",""
"Total","Netherlands","Rate","2013","Less than 65 years","Assault","0.82",""
"Total","Netherlands","Rate","2013","Less than 65 years","Event of undetermined intent","0.3",""
"Total","Netherlands","Rate","2013","Less than 65 years","Other external causes of morbidity and mortality (remainder of V01-Y89)","0.11",""
"Total","Austria","Rate","2011","Total","All causes of death (A00-Y89) excluding S00-T98","994.6",""
"Total","Austria","Rate","2011","Total","Certain infectious and parasitic diseases (A00-B99)","8.64",""
"Total","Austria","Rate","2011","Total","Tuberculosis","0.7",""
"Total","Austria","Rate","2011","Total","Viral hepatitis and sequelae of viral hepatitis","3.5",""
"Total","Austria","Rate","2011","Total","Human immunodeficiency virus [HIV] disease","0.47",""
"Total","Austria","Rate","2011","Total","Other infectious and parasitic diseases (remainder of A00-B99)","3.96",""
"Total","Austria","Rate","2011","Total","Neoplasms","265.65",""
"Total","Austria","Rate","2011","Total","Malignant neoplasms (C00-C97)","256.27",""
"Total","Austria","Rate","2011","Total","Malignant neoplasm of lip, oral cavity, pharynx","6.07",""
"Total","Austria","Rate","2011","Total","Malignant neoplasm of oesophagus","4.01",""
"Total","Austria","Rate","2011","Total","Malignant neoplasm of stomach","11.63",""
"Total","Austria","Rate","2011","Total","Malignant neoplasm of colon, rectosigmoid junction, rectum, anus and anal canal","28.13",""
"Total","Austria","Rate","2011","Total","Malignant neoplasm of liver and intrahepatic bile ducts","10.15",""
"Total","Austria","Rate","2011","Total","Malignant neoplasm of pancreas","19.71",""
"Total","Austria","Rate","2011","Total","Malignant neoplasm of larynx","1.67",""
"Total","Austria","Rate","2011","Total","Malignant neoplasm of trachea, bronchus and lung","45.94",""
"Total","Austria","Rate","2011","Total","Malignant melanoma of skin","4.49",""
"Total","Austria","Rate","2011","Total","Malignant neoplasm of breast","19.19",""
"Total","Austria","Rate","2011","Total","Malignant neoplasm of cervix uteri","1.88",""
"Total","Austria","Rate","2011","Total","Malignant neoplasm of other parts of uterus","3.41",""
"Total","Austria","Rate","2011","Total","Malignant neoplasm of ovary","6.18",""
"Total","Austria","Rate","2011","Total","Malignant neoplasm of prostate","14.91",""
"Total","Austria","Rate","2011","Total","Malignant neoplasm of kidney, except renal pelvis","5.46",""
"Total","Austria","Rate","2011","Total","Malignant neoplasm of bladder","6.67",""
"Total","Austria","Rate","2011","Total","Malignant neoplasm of brain and central nervous system","6.05",""
"Total","Austria","Rate","2011","Total","Malignant neoplasm of thyroid gland","0.88",""
"Total","Austria","Rate","2011","Total","Hodgkin disease and lymphomas","8.02",""
"Total","Austria","Rate","2011","Total","Other malignant neoplasm of lymphoid, haematopoietic and related tissue","4.73",""
"Total","Austria","Rate","2011","Total","Leukaemia","9.79",""
"Total","Austria","Rate","2011","Total","Other malignant neoplasms (remainder of C00-C97)","37.32",""
"Total","Austria","Rate","2011","Total","Non-malignant neoplasms (benign and uncertain)","9.38",""
"Total","Austria","Rate","2011","Total","Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism","2.51",""
"Total","Austria","Rate","2011","Total","Endocrine, nutritional and metabolic diseases (E00-E90)","49.91",""
"Total","Austria","Rate","2011","Total","Diabetes mellitus","38.34",""
"Total","Austria","Rate","2011","Total","Other endocrine, nutritional and metabolic diseases (remainder of E00-E90)","11.58",""
"Total","Austria","Rate","2011","Total","Mental and behavioural disorders (F00-F99)","11.84",""
"Total","Austria","Rate","2011","Total","Dementia","3.75",""
"Total","Austria","Rate","2011","Total","Mental and behavioural disorders due to use of alcohol","5.31",""
"Total","Austria","Rate","2011","Total","Drug dependence, toxicomania (F11-F16, F18-F19)","2.66",""
"Total","Austria","Rate","2011","Total","Other mental and behavioural disorders (remainder of F00-F99)","0.13",""
"Total","Austria","Rate","2011","Total","Diseases of the nervous system and the sense organs (G00-H95)","32.47",""
"Total","Austria","Rate","2011","Total","Parkinson disease","10.07",""
"Total","Austria","Rate","2011","Total","Alzheimer disease","13.36",""
"Total","Austria","Rate","2011","Total","Other diseases of the nervous system and the sense organs (remainder of G00-H95)","9.04",""
"Total","Austria","Rate","2011","Total","Diseases of the circulatory system (I00-I99)","437.9",""
"Total","Austria","Rate","2011","Total","Ischaemic heart diseases","194.22",""
"Total","Austria","Rate","2011","Total","Acute myocardial infarction including subsequent myocardial infarction","66.97",""
"Total","Austria","Rate","2011","Total","Other ischaemic heart diseases","127.25",""
"Total","Austria","Rate","2011","Total","Other heart diseases","96.2",""
"Total","Austria","Rate","2011","Total","Cerebrovascular diseases","65.52",""
"Total","Austria","Rate","2011","Total","Other diseases of the circulatory system (remainder of I00-I99)","81.96",""
"Total","Austria","Rate","2011","Total","Diseases of the respiratory system (J00-J99)","53.78",""
"Total","Austria","Rate","2011","Total","Influenza (including swine flu)","0.3",""
"Total","Austria","Rate","2011","Total","Pneumonia","14.56",""
"Total","Austria","Rate","2011","Total","Chronic lower respiratory diseases","33.44",""
"Total","Austria","Rate","2011","Total","Asthma and status asthmaticus","0.81",""
"Total","Austria","Rate","2011","Total","Other lower respiratory diseases","32.63",""
"Total","Austria","Rate","2011","Total","Other diseases of the respiratory system (remainder of J00-J99)","5.49",""
"Total","Austria","Rate","2011","Total","Diseases of the digestive system (K00-K93)","38.19",""
"Total","Austria","Rate","2011","Total","Ulcer of stomach, duodenum and jejunum","2.16",""
"Total","Austria","Rate","2011","Total","Chronic liver disease","17.11",""
"Total","Austria","Rate","2011","Total","Other diseases of the digestive system (remainder of K00-K93)","18.92",""
"Total","Austria","Rate","2011","Total","Diseases of the skin and subcutaneous tissue (L00-L99)","0.75",""
"Total","Austria","Rate","2011","Total","Diseases of the musculoskeletal system and connective tissue (M00-M99)","3.54",""
"Total","Austria","Rate","2011","Total","Rheumatoid arthritis and arthrosis (M05-M06,M15-M19)","0.65",""
"Total","Austria","Rate","2011","Total","Other diseases of the musculoskeletal system and connective tissue (remainder of M00-M99)","2.89",""
"Total","Austria","Rate","2011","Total","Diseases of the genitourinary system (N00-N99)","17.89",""
"Total","Austria","Rate","2011","Total","Diseases of kidney and ureter","15.01",""
"Total","Austria","Rate","2011","Total","Other diseases of the genitourinary system (remainder of N00-N99)","2.87",""
"Total","Austria","Rate","2011","Total","Pregnancy, childbirth and the puerperium (O00-O99)","0.02",""
"Total","Austria","Rate","2011","Total","Certain conditions originating in the perinatal period (P00-P96)","1.86",""
"Total","Austria","Rate","2011","Total","Congenital malformations, deformations and chromosomal abnormalities (Q00-Q99)","3.13",""
"Total","Austria","Rate","2011","Total","Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)","13.1",""
"Total","Austria","Rate","2011","Total","Sudden infant death syndrome","0.19",""
"Total","Austria","Rate","2011","Total","Ill-defined and unknown causes of mortality","1.09",""
"Total","Austria","Rate","2011","Total","Other symptoms, signs and abnormal clinical and laboratory findings (remainder of R00-R99)","11.82",""
"Total","Austria","Rate","2011","Total","External causes of morbidity and mortality (V01-Y89)","53.42",""
"Total","Austria","Rate","2011","Total","Accidents (V01-X59, Y85, Y86)","32.29",""
"Total","Austria","Rate","2011","Total","Transport accidents (V01-V99, Y85)","6.76",""
"Total","Austria","Rate","2011","Total","Other accidents (W20-W64, W75-X39, X50-X59, Y86)","13.21",""
"Total","Austria","Rate","2011","Total","Falls","11.27",""
"Total","Austria","Rate","2011","Total","Accidental drowning and submersion","0.8",""
"Total","Austria","Rate","2011","Total","Intentional self-harm","15.54",""
"Total","Austria","Rate","2011","Total","Accidental poisoning by and exposure to noxious substances","0.25",""
"Total","Austria","Rate","2011","Total","Assault","0.55",""
"Total","Austria","Rate","2011","Total","Event of undetermined intent","2.32",""
"Total","Austria","Rate","2011","Total","Other external causes of morbidity and mortality (remainder of V01-Y89)","2.72",""
"Total","Austria","Rate","2011","Less than 65 years","All causes of death (A00-Y89) excluding S00-T98","194.72",""
"Total","Austria","Rate","2011","Less than 65 years","Certain infectious and parasitic diseases (A00-B99)","2.62",""
"Total","Austria","Rate","2011","Less than 65 years","Tuberculosis","0.18",""
"Total","Austria","Rate","2011","Less than 65 years","Viral hepatitis and sequelae of viral hepatitis","1.16",""
"Total","Austria","Rate","2011","Less than 65 years","Human immunodeficiency virus [HIV] disease","0.57",""
"Total","Austria","Rate","2011","Less than 65 years","Other infectious and parasitic diseases (remainder of A00-B99)","0.7",""
"Total","Austria","Rate","2011","Less than 65 years","Neoplasms","76.66",""
"Total","Austria","Rate","2011","Less than 65 years","Malignant neoplasms (C00-C97)","75.79",""
"Total","Austria","Rate","2011","Less than 65 years","Malignant neoplasm of lip, oral cavity, pharynx","3.65",""
"Total","Austria","Rate","2011","Less than 65 years","Malignant neoplasm of oesophagus","1.79",""
"Total","Austria","Rate","2011","Less than 65 years","Malignant neoplasm of stomach","2.93",""
"Total","Austria","Rate","2011","Less than 65 years","Malignant neoplasm of colon, rectosigmoid junction, rectum, anus and anal canal","5.96",""
"Total","Austria","Rate","2011","Less than 65 years","Malignant neoplasm of liver and intrahepatic bile ducts","3.17",""
"Total","Austria","Rate","2011","Less than 65 years","Malignant neoplasm of pancreas","5.8",""
"Total","Austria","Rate","2011","Less than 65 years","Malignant neoplasm of larynx","0.68",""
"Total","Austria","Rate","2011","Less than 65 years","Malignant neoplasm of trachea, bronchus and lung","19.09",""
"Total","Austria","Rate","2011","Less than 65 years","Malignant melanoma of skin","1.76",""
"Total","Austria","Rate","2011","Less than 65 years","Malignant neoplasm of breast","6.71",""
"Total","Austria","Rate","2011","Less than 65 years","Malignant neoplasm of cervix uteri","1.07",""
"Total","Austria","Rate","2011","Less than 65 years","Malignant neoplasm of other parts of uterus","0.53",""
"Total","Austria","Rate","2011","Less than 65 years","Malignant neoplasm of ovary","1.98",""
"Total","Austria","Rate","2011","Less than 65 years","Malignant neoplasm of prostate","1.03",""
"Total","Austria","Rate","2011","Less than 65 years","Malignant neoplasm of kidney, except renal pelvis","1.31",""
"Total","Austria","Rate","2011","Less than 65 years","Malignant neoplasm of bladder","0.96",""
"Total","Austria","Rate","2011","Less than 65 years","Malignant neoplasm of brain and central nervous system","3.35",""
"Total","Austria","Rate","2011","Less than 65 years","Malignant neoplasm of thyroid gland","0.18",""
"Total","Austria","Rate","2011","Less than 65 years","Hodgkin disease and lymphomas","1.6",""
"Total","Austria","Rate","2011","Less than 65 years","Other malignant neoplasm of lymphoid, haematopoietic and related tissue","1.1",""
"Total","Austria","Rate","2011","Less than 65 years","Leukaemia","2.05",""
"Total","Austria","Rate","2011","Less than 65 years","Other malignant neoplasms (remainder of C00-C97)","9.07",""
"Total","Austria","Rate","2011","Less than 65 years","Non-malignant neoplasms (benign and uncertain)","0.87",""
"Total","Austria","Rate","2011","Less than 65 years","Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism","0.67",""
"Total","Austria","Rate","2011","Less than 65 years","Endocrine, nutritional and metabolic diseases (E00-E90)","9.33",""
"Total","Austria","Rate","2011","Less than 65 years","Diabetes mellitus","3.91",""
"Total","Austria","Rate","2011","Less than 65 years","Other endocrine, nutritional and metabolic diseases (remainder of E00-E90)","5.43",""
"Total","Austria","Rate","2011","Less than 65 years","Mental and behavioural disorders (F00-F99)","6.94",""
"Total","Austria","Rate","2011","Less than 65 years","Dementia","0.02",""
"Total","Austria","Rate","2011","Less than 65 years","Mental and behavioural disorders due to use of alcohol","3.64",""
"Total","Austria","Rate","2011","Less than 65 years","Drug dependence, toxicomania (F11-F16, F18-F19)","3.2",""
"Total","Austria","Rate","2011","Less than 65 years","Other mental and behavioural disorders (remainder of F00-F99)","0.08",""
"Total","Austria","Rate","2011","Less than 65 years","Diseases of the nervous system and the sense organs (G00-H95)","4.22",""
"Total","Austria","Rate","2011","Less than 65 years","Parkinson disease","0.17",""
"Total","Austria","Rate","2011","Less than 65 years","Alzheimer disease","0.13",""
"Total","Austria","Rate","2011","Less than 65 years","Other diseases of the nervous system and the sense organs (remainder of G00-H95)","3.92",""
"Total","Austria","Rate","2011","Less than 65 years","Diseases of the circulatory system (I00-I99)","36.93",""
"Total","Austria","Rate","2011","Less than 65 years","Ischaemic heart diseases","21.09",""
"Total","Austria","Rate","2011","Less than 65 years","Acute myocardial infarction including subsequent myocardial infarction","13.96",""
"Total","Austria","Rate","2011","Less than 65 years","Other ischaemic heart diseases","7.14",""
"Total","Austria","Rate","2011","Less than 65 years","Other heart diseases","5.7",""
"Total","Austria","Rate","2011","Less than 65 years","Cerebrovascular diseases","5.32",""
"Total","Austria","Rate","2011","Less than 65 years","Other diseases of the circulatory system (remainder of I00-I99)","4.82",""
"Total","Austria","Rate","2011","Less than 65 years","Diseases of the respiratory system (J00-J99)","6.16",""
"Total","Austria","Rate","2011","Less than 65 years","Influenza (including swine flu)","0.2",""
"Total","Austria","Rate","2011","Less than 65 years","Pneumonia","0.75",""
"Total","Austria","Rate","2011","Less than 65 years","Chronic lower respiratory diseases","4.72",""
"Total","Austria","Rate","2011","Less than 65 years","Asthma and status asthmaticus","0.3",""
"Total","Austria","Rate","2011","Less than 65 years","Other lower respiratory diseases","4.41",""
"Total","Austria","Rate","2011","Less than 65 years","Other diseases of the respiratory system (remainder of J00-J99)","0.49",""
"Total","Austria","Rate","2011","Less than 65 years","Diseases of the digestive system (K00-K93)","14.47",""
"Total","Austria","Rate","2011","Less than 65 years","Ulcer of stomach, duodenum and jejunum","0.44",""
"Total","Austria","Rate","2011","Less than 65 years","Chronic liver disease","11.11",""
"Total","Austria","Rate","2011","Less than 65 years","Other diseases of the digestive system (remainder of K00-K93)","2.92",""
"Total","Austria","Rate","2011","Less than 65 years","Diseases of the skin and subcutaneous tissue (L00-L99)","0.11",""
"Total","Austria","Rate","2011","Less than 65 years","Diseases of the musculoskeletal system and connective tissue (M00-M99)","0.39",""
"Total","Austria","Rate","2011","Less than 65 years","Rheumatoid arthritis and arthrosis (M05-M06,M15-M19)","0.08",""
"Total","Austria","Rate","2011","Less than 65 years","Other diseases of the musculoskeletal system and connective tissue (remainder of M00-M99)","0.32",""
"Total","Austria","Rate","2011","Less than 65 years","Diseases of the genitourinary system (N00-N99)","1.12",""
"Total","Austria","Rate","2011","Less than 65 years","Diseases of kidney and ureter","1.03",""
"Total","Austria","Rate","2011","Less than 65 years","Other diseases of the genitourinary system (remainder of N00-N99)","0.09",""
"Total","Austria","Rate","2011","Less than 65 years","Pregnancy, childbirth and the puerperium (O00-O99)","0.03",""
"Total","Austria","Rate","2011","Less than 65 years","Certain conditions originating in the perinatal period (P00-P96)","2.29",""
"Total","Austria","Rate","2011","Less than 65 years","Congenital malformations, deformations and chromosomal abnormalities (Q00-Q99)","3.52",""
"Total","Austria","Rate","2011","Less than 65 years","Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)","1.09",""
"Total","Austria","Rate","2011","Less than 65 years","Sudden infant death syndrome","0.24",""
"Total","Austria","Rate","2011","Less than 65 years","Ill-defined and unknown causes of mortality","0.78",""
"Total","Austria","Rate","2011","Less than 65 years","Other symptoms, signs and abnormal clinical and laboratory findings (remainder of R00-R99)","0.07",""
"Total","Austria","Rate","2011","Less than 65 years","External causes of morbidity and mortality (V01-Y89)","28.17",""
"Total","Austria","Rate","2011","Less than 65 years","Accidents (V01-X59, Y85, Y86)","12.4",""
"Total","Austria","Rate","2011","Less than 65 years","Transport accidents (V01-V99, Y85)","5.72",""
"Total","Austria","Rate","2011","Less than 65 years","Other accidents (W20-W64, W75-X39, X50-X59, Y86)","3.2",""
"Total","Austria","Rate","2011","Less than 65 years","Falls","2.81",""
"Total","Austria","Rate","2011","Less than 65 years","Accidental drowning and submersion","0.48",""
"Total","Austria","Rate","2011","Less than 65 years","Intentional self-harm","12.18",""
"Total","Austria","Rate","2011","Less than 65 years","Accidental poisoning by and exposure to noxious substances","0.18",""
"Total","Austria","Rate","2011","Less than 65 years","Assault","0.51",""
"Total","Austria","Rate","2011","Less than 65 years","Event of undetermined intent","2.14",""
"Total","Austria","Rate","2011","Less than 65 years","Other external causes of morbidity and mortality (remainder of V01-Y89)","0.94",""
"Total","Austria","Rate","2012","Total","All causes of death (A00-Y89) excluding S00-T98","1,014.47",""
"Total","Austria","Rate","2012","Total","Certain infectious and parasitic diseases (A00-B99)","8.41",""
"Total","Austria","Rate","2012","Total","Tuberculosis","0.5",""
"Total","Austria","Rate","2012","Total","Viral hepatitis and sequelae of viral hepatitis","2.98",""
"Total","Austria","Rate","2012","Total","Human immunodeficiency virus [HIV] disease","0.44",""
"Total","Austria","Rate","2012","Total","Other infectious and parasitic diseases (remainder of A00-B99)","4.5",""
"Total","Austria","Rate","2012","Total","Neoplasms","265.38",""
"Total","Austria","Rate","2012","Total","Malignant neoplasms (C00-C97)","255.52",""
"Total","Austria","Rate","2012","Total","Malignant neoplasm of lip, oral cavity, pharynx","6.17",""
"Total","Austria","Rate","2012","Total","Malignant neoplasm of oesophagus","4.45",""
"Total","Austria","Rate","2012","Total","Malignant neoplasm of stomach","11.69",""
"Total","Austria","Rate","2012","Total","Malignant neoplasm of colon, rectosigmoid junction, rectum, anus and anal canal","27.29",""
"Total","Austria","Rate","2012","Total","Malignant neoplasm of liver and intrahepatic bile ducts","11.34",""
"Total","Austria","Rate","2012","Total","Malignant neoplasm of pancreas","19.63",""
"Total","Austria","Rate","2012","Total","Malignant neoplasm of larynx","1.78",""
"Total","Austria","Rate","2012","Total","Malignant neoplasm of trachea, bronchus and lung","46.12",""
"Total","Austria","Rate","2012","Total","Malignant melanoma of skin","4.42",""
"Total","Austria","Rate","2012","Total","Malignant neoplasm of breast","19.32",""
"Total","Austria","Rate","2012","Total","Malignant neoplasm of cervix uteri","1.76",""
"Total","Austria","Rate","2012","Total","Malignant neoplasm of other parts of uterus","3.72",""
"Total","Austria","Rate","2012","Total","Malignant neoplasm of ovary","6.39",""
"Total","Austria","Rate","2012","Total","Malignant neoplasm of prostate","14.23",""
"Total","Austria","Rate","2012","Total","Malignant neoplasm of kidney, except renal pelvis","4.95",""
"Total","Austria","Rate","2012","Total","Malignant neoplasm of bladder","6.85",""
"Total","Austria","Rate","2012","Total","Malignant neoplasm of brain and central nervous system","6.68",""
"Total","Austria","Rate","2012","Total","Malignant neoplasm of thyroid gland","0.93",""
"Total","Austria","Rate","2012","Total","Hodgkin disease and lymphomas","8.11",""
"Total","Austria","Rate","2012","Total","Other malignant neoplasm of lymphoid, haematopoietic and related tissue","4.76",""
"Total","Austria","Rate","2012","Total","Leukaemia","9.27",""
"Total","Austria","Rate","2012","Total","Other malignant neoplasms (remainder of C00-C97)","35.66",""
"Total","Austria","Rate","2012","Total","Non-malignant neoplasms (benign and uncertain)","9.85",""
"Total","Austria","Rate","2012","Total","Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism","2.71",""
"Total","Austria","Rate","2012","Total","Endocrine, nutritional and metabolic diseases (E00-E90)","51.49",""
"Total","Austria","Rate","2012","Total","Diabetes mellitus","38.54",""
"Total","Austria","Rate","2012","Total","Other endocrine, nutritional and metabolic diseases (remainder of E00-E90)","12.95",""
"Total","Austria","Rate","2012","Total","Mental and behavioural disorders (F00-F99)","15.5",""
"Total","Austria","Rate","2012","Total","Dementia","7.28",""
"Total","Austria","Rate","2012","Total","Mental and behavioural disorders due to use of alcohol","5.56",""
"Total","Austria","Rate","2012","Total","Drug dependence, toxicomania (F11-F16, F18-F19)","2.53",""
"Total","Austria","Rate","2012","Total","Other mental and behavioural disorders (remainder of F00-F99)","0.14",""
"Total","Austria","Rate","2012","Total","Diseases of the nervous system and the sense organs (G00-H95)","34.73",""
"Total","Austria","Rate","2012","Total","Parkinson disease","11.1",""
"Total","Austria","Rate","2012","Total","Alzheimer disease","13.78",""
"Total","Austria","Rate","2012","Total","Other diseases of the nervous system and the sense organs (remainder of G00-H95)","9.85",""
"Total","Austria","Rate","2012","Total","Diseases of the circulatory system (I00-I99)","450.24",""
"Total","Austria","Rate","2012","Total","Ischaemic heart diseases","197.92",""
"Total","Austria","Rate","2012","Total","Acute myocardial infarction including subsequent myocardial infarction","65.01",""
"Total","Austria","Rate","2012","Total","Other ischaemic heart diseases","132.91",""
"Total","Austria","Rate","2012","Total","Other heart diseases","97.5",""
"Total","Austria","Rate","2012","Total","Cerebrovascular diseases","68.15",""
"Total","Austria","Rate","2012","Total","Other diseases of the circulatory system (remainder of I00-I99)","86.67",""
"Total","Austria","Rate","2012","Total","Diseases of the respiratory system (J00-J99)","51.78",""
"Total","Austria","Rate","2012","Total","Influenza (including swine flu)","0.39",""
"Total","Austria","Rate","2012","Total","Pneumonia","11.69",""
"Total","Austria","Rate","2012","Total","Chronic lower respiratory diseases","34.24",""
"Total","Austria","Rate","2012","Total","Asthma and status asthmaticus","1.01",""
"Total","Austria","Rate","2012","Total","Other lower respiratory diseases","33.23",""
"Total","Austria","Rate","2012","Total","Other diseases of the respiratory system (remainder of J00-J99)","5.46",""
"Total","Austria","Rate","2012","Total","Diseases of the digestive system (K00-K93)","37.88",""
"Total","Austria","Rate","2012","Total","Ulcer of stomach, duodenum and jejunum","2.03",""
"Total","Austria","Rate","2012","Total","Chronic liver disease","18.32",""
"Total","Austria","Rate","2012","Total","Other diseases of the digestive system (remainder of K00-K93)","17.52",""
"Total","Austria","Rate","2012","Total","Diseases of the skin and subcutaneous tissue (L00-L99)","0.97",""
